# Crystal Eye Ground Track  |  i=5  |  h=550 km
# Inizio missione: 2031-01-01 00:00:00 UTC
# Passo temporale: 8 s  |  Durata: 95.65 min (1 orbita)
#
# Colonne:
#   UTC_datetime       : timestamp ISO 8601
#   X_ECI_km           : posizione ECI asse X (km)
#   Y_ECI_km           : posizione ECI asse Y (km)
#   Z_ECI_km           : posizione ECI asse Z (km)
#   X_ECEF_km          : posizione ECEF asse X (km)
#   Y_ECEF_km          : posizione ECEF asse Y (km)
#   Z_ECEF_km          : posizione ECEF asse Z (km)
#   lat_deg            : latitudine geocentrica (gradi)
#   lon_deg            : longitudine (gradi)
#   alt_km             : altitudine sul geoide (km)
#
UTC_datetime              X_ECI_km      Y_ECI_km      Z_ECI_km     X_ECEF_km     Y_ECEF_km     Z_ECEF_km     lat_deg     lon_deg      alt_km
2031-01-01T00:04:56     -2194.7857     6568.4485      192.2742    -2052.5078     6614.2885      192.2742      1.5903    107.2399    550.0000
2031-01-01T00:05:04     -2251.9341     6548.9268      197.2802    -2106.2159     6597.2346      197.2802      1.6317    107.7061    550.0000
2031-01-01T00:05:12     -2308.9102     6528.9042      202.2710    -2159.7838     6579.7409      202.2710      1.6730    108.1723    550.0000
2031-01-01T00:05:20     -2365.7097     6508.3820      207.2463    -2213.2078     6561.8084      207.2463      1.7142    108.6385    550.0000
2031-01-01T00:05:28     -2422.3282     6487.3619      212.2057    -2266.4845     6543.4384      212.2057      1.7552    109.1048    550.0000
2031-01-01T00:05:36     -2478.7613     6465.8455      217.1488    -2319.6102     6524.6321      217.1488      1.7961    109.5711    550.0000
2031-01-01T00:05:44     -2535.0049     6443.8345      222.0753    -2372.5815     6505.3908      222.0753      1.8369    110.0374    550.0000
2031-01-01T00:05:52     -2591.0545     6421.3304      226.9847    -2425.3948     6485.7157      226.9847      1.8775    110.5038    550.0000
2031-01-01T00:06:00     -2646.9059     6398.3351      231.8767    -2478.0465     6465.6081      231.8767      1.9180    110.9701    550.0000
2031-01-01T00:06:08     -2702.5547     6374.8503      236.7510    -2530.5333     6445.0694      236.7510      1.9583    111.4365    550.0000
2031-01-01T00:06:16     -2757.9969     6350.8778      241.6070    -2582.8515     6424.1010      241.6070      1.9985    111.9029    550.0000
2031-01-01T00:06:24     -2813.2280     6326.4194      246.4446    -2634.9977     6402.7043      246.4446      2.0385    112.3693    550.0000
2031-01-01T00:06:32     -2868.2439     6301.4771      251.2632    -2686.9684     6380.8806      251.2632      2.0784    112.8358    550.0000
2031-01-01T00:06:40     -2923.0404     6276.0526      256.0626    -2738.7602     6358.6315      256.0626      2.1181    113.3023    550.0000
2031-01-01T00:06:48     -2977.6133     6250.1480      260.8423    -2790.3696     6335.9584      260.8423      2.1577    113.7688    550.0000
2031-01-01T00:06:56     -3031.9584     6223.7652      265.6020    -2841.7932     6312.8628      265.6020      2.1971    114.2353    550.0000
2031-01-01T00:07:04     -3086.0715     6196.9063      270.3413    -2893.0276     6289.3463      270.3413      2.2363    114.7019    550.0000
2031-01-01T00:07:12     -3139.9485     6169.5733      275.0599    -2944.0693     6265.4104      275.0599      2.2754    115.1685    550.0000
2031-01-01T00:07:20     -3193.5853     6141.7683      279.7574    -2994.9149     6241.0568      279.7574      2.3142    115.6351    550.0000
2031-01-01T00:07:28     -3246.9778     6113.4935      284.4334    -3045.5611     6216.2871      284.4334      2.3529    116.1017    550.0000
2031-01-01T00:07:36     -3300.1219     6084.7509      289.0876    -3096.0045     6191.1028      289.0876      2.3915    116.5684    550.0000
2031-01-01T00:07:44     -3353.0136     6055.5428      293.7196    -3146.2417     6165.5058      293.7196      2.4298    117.0351    550.0000
2031-01-01T00:07:52     -3405.6487     6025.8714      298.3291    -3196.2694     6139.4976      298.3291      2.4680    117.5018    550.0000
2031-01-01T00:08:00     -3458.0232     5995.7391      302.9157    -3246.0842     6113.0801      302.9157      2.5059    117.9686    550.0000
2031-01-01T00:08:08     -3510.1333     5965.1480      307.4791    -3295.6829     6086.2550      307.4791      2.5437    118.4354    550.0000
2031-01-01T00:08:16     -3561.9748     5934.1006      312.0189    -3345.0621     6059.0241      312.0189      2.5813    118.9022    550.0000
2031-01-01T00:08:24     -3613.5437     5902.5992      316.5347    -3394.2185     6031.3892      316.5347      2.6187    119.3690    550.0000
2031-01-01T00:08:32     -3664.8363     5870.6462      321.0263    -3443.1489     6003.3522      321.0263      2.6559    119.8359    550.0000
2031-01-01T00:08:40     -3715.8485     5838.2441      325.4932    -3491.8501     5974.9148      325.4932      2.6928    120.3028    550.0000
2031-01-01T00:08:48     -3766.5764     5805.3953      329.9352    -3540.3186     5946.0791      329.9352      2.7296    120.7697    550.0000
2031-01-01T00:08:56     -3817.0161     5772.1024      334.3519    -3588.5514     5916.8469      334.3519      2.7662    121.2367    550.0000
2031-01-01T00:09:04     -3867.1639     5738.3679      338.7429    -3636.5453     5887.2202      338.7429      2.8025    121.7037    550.0000
2031-01-01T00:09:12     -3917.0158     5704.1944      343.1079    -3684.2969     5857.2009      343.1079      2.8387    122.1707    550.0000
2031-01-01T00:09:20     -3966.5680     5669.5845      347.4466    -3731.8033     5826.7911      347.4466      2.8746    122.6378    550.0000
2031-01-01T00:09:28     -4015.8168     5634.5409      351.7586    -3779.0611     5795.9928      351.7586      2.9103    123.1049    550.0000
2031-01-01T00:09:36     -4064.7583     5599.0662      356.0437    -3826.0672     5764.8081      356.0437      2.9458    123.5720    550.0000
2031-01-01T00:09:44     -4113.3889     5563.1631      360.3014    -3872.8185     5733.2390      360.3014      2.9811    124.0391    550.0000
2031-01-01T00:09:52     -4161.7048     5526.8345      364.5316    -3919.3120     5701.2876      364.5316      3.0161    124.5063    550.0000
2031-01-01T00:10:00     -4209.7023     5490.0830      368.7337    -3965.5444     5668.9561      368.7337      3.0509    124.9735    550.0000
2031-01-01T00:10:08     -4257.3778     5452.9115      372.9076    -4011.5127     5636.2465      372.9076      3.0855    125.4408    550.0000
2031-01-01T00:10:16     -4304.7276     5415.3228      377.0528    -4057.2140     5603.1612      377.0528      3.1198    125.9081    550.0000
2031-01-01T00:10:24     -4351.7480     5377.3199      381.1691    -4102.6450     5569.7023      381.1691      3.1539    126.3754    550.0000
2031-01-01T00:10:32     -4398.4356     5338.9055      385.2562    -4147.8028     5535.8720      385.2562      3.1877    126.8427    550.0000
2031-01-01T00:10:40     -4444.7866     5300.0827      389.3137    -4192.6844     5501.6727      389.3137      3.2213    127.3101    550.0000
2031-01-01T00:10:48     -4490.7976     5260.8544      393.3414    -4237.2868     5467.1065      393.3414      3.2547    127.7775    550.0000
