0	40.629	-19.2146	41.1497
1	52.1614	-18.8086	37.6242
2	63.4356	-19.0758	29.3418
3	48.285	-2.96299	41.4749
4	60.0537	-6.15549	35.5067
5	72.0284	-11.8236	39.923
6	72.1287	-25.479	36.9667
7	60.2678	-30.8275	37.4661
8	48.6905	-33.8022	43.1482
9	58.481	-44.232	43.7149
10	70.1063	-38.0243	40.9297
11	82.3061	-32.0925	62.8008
12	82.3874	-18.8949	63.8612
13	82.1892	-4.86328	65.8695
14	69.8149	1.87628	43.4084
15	58.1229	8.90769	42.6003
16	40.2711	-90	42.8842
17	51.9395	-90	34.6252
18	63.4997	-90	31.3157
19	48.4558	-106.447	43.2583
20	60.1129	-103.247	35.7799
21	72.0036	-97.5988	38.1733
22	72.0036	-82.4012	37.9699
23	60.1129	-76.7525	38.5762
24	48.4558	-73.553	44.8174
25	58.3819	-116.981	39.5345
26	69.9902	-110.637	45.9684
27	82.2432	-104.585	65.2315
28	82.3105	-90	63.4362
29	82.2432	-75.4155	63.6748
30	69.9902	-69.363	41.7622
31	58.3819	-63.0192	41.2285
32	82.2535	-59.712	63.3151
33	82.2727	-47.6242	62.5245
34	71.2357	-53.6467	38.8399
35	82.2727	-132.376	63.9616
36	82.2535	-120.288	65.8479
37	71.2357	-126.353	42.5667
38	82.3061	-147.907	63.5018
39	70.1063	-141.976	44.8497
40	58.481	-135.768	39.4342
41	82.3874	-161.105	64.6779
42	72.1287	-154.521	38.6567
43	60.2678	-149.173	34.4946
44	48.6905	-146.198	39.9109
45	40.629	-160.785	42.405
46	52.1614	-161.191	37.852
47	63.4356	-160.924	32.7455
48	72.0284	-168.176	37.9375
49	82.1892	-175.137	62.112
50	69.8149	178.124	42.3689
51	60.0537	-173.845	35.7076
52	48.285	-177.037	41.2912
53	58.1229	171.092	43.7133
54	82.1858	167.252	63.749
55	82.237	154.999	61.3684
56	71.1104	161.068	42.1133
57	82.3193	139.421	67.0415
58	82.439	126.339	64.9993
59	72.1818	133.001	35.8514
60	70.0873	145.317	44.3617
61	58.3691	151.492	39.4132
62	60.2885	138.279	35.3441
63	63.775	126.591	33.0314
64	72.144	119.494	38.3086
65	82.2784	113.185	66.4187
66	48.6532	140.934	41.7688
67	52.2369	126.264	35.0358
68	60.1704	114.194	36.4995
69	69.9397	107.227	43.9883
70	40.7341	126.32	45.0937
71	48.5278	111.649	43.7879
72	58.162	100.656	40.1813
73	82.1505	96.8999	63.8332
74	82.1505	83.1001	65.2066
75	70.9627	90	44.7227
76	82.237	25.0012	63.0243
77	82.1858	12.7484	65.2474
78	71.1104	18.9315	43.4521
79	82.2784	66.8147	64.9133
80	82.439	53.6606	64.9377
81	82.3193	40.579	63.5337
82	70.0873	34.6827	44.2193
83	72.1818	46.9991	38.4651
84	72.144	60.5061	38.4798
85	69.9397	72.7726	43.5198
86	58.3691	28.5077	43.9722
87	60.2885	41.7212	35.6036
88	63.775	53.4089	31.6945
89	60.1704	65.8058	36.0519
90	58.162	79.3436	40.4759
91	52.2369	53.7364	37.1246
92	48.6532	39.066	44.1761
93	48.5278	68.3515	43.5441
94	40.7341	53.6803	43.7712
95	45.012	-53.5281	42.4854
96	35.0537	-63.9255	41.3238
97	35.1869	-42.9492	42.8889
98	35.0537	-116.075	43.0081
99	45.012	-126.472	43.8658
100	35.1869	-137.051	43.2193
101	44.7988	160.794	44.0825
102	34.729	172.642	45.1381
103	35.0612	149.947	43.1407
104	34.8221	78.1558	42.4724
105	44.5958	90	44.717
106	34.8221	101.844	42.8202
107	44.7988	19.2056	44.1304
108	35.0612	30.0531	43.6714
109	34.729	7.3585	43.5086
110	24.3875	-18.784	43.4198
111	20.9228	-53.2505	44.1237
112	24.1021	-90	45.7032
113	20.9228	-126.75	43.4188
114	24.3875	-161.216	45.3879
115	20.6216	161.362	42.4809
116	24.6501	126.467	41.8927
117	20.5521	90	45.2851
118	24.6501	53.533	43.6005
119	20.6216	18.6375	46.4478
120	12.378	53.9218	39.5527
121	12.2058	-18.3067	39.6522
122	12.0384	-90	40.3588
123	12.2058	-161.693	37.312
124	12.378	126.078	38.6049
125	0.641923	90	32.803
